Bug_ID,Bug_Title,Bug_Description,Category,Technology,Module,Environment,Severity,Priority,Status,Resolution,Expected_Resolution_Time
BUG00001,MFA verification code rejected on submission,"The system intermittently rejects correct multi-factor authentication codes during user login, returning invalid code errors.",Authentication,React,MFA,Web,Critical,P1,Fixed,Synchronize server clock configuration and increase the validity window drift buffer.,4
BUG00002,DB query timeout errors due to connection exhaustion,The backend fails to process queries and returns database connection timeout errors under concurrent traffic spikes at 8443.,Database,AWS,ConnectionPool,AWS,High,P2,In Progress,Audit query execution paths and refactor backend resources to return connections back to the pool immediately.,13
BUG00003,Rate limiter blocks legitimate internal services,Internal service-to-service calls are blocked with HTTP 429 status code during scheduled batch update tasks.,API,Express,Gateway,Kubernetes,Medium,P3,Fixed,Increase request threshold settings for client service identification keys.,58
BUG00004,Mobile viewport layout collapses navigation menu items,Users on mobile devices are unable to click navigation buttons because grid layout properties collapse.,UI,Android,Navigation,Android,Low,P4,Open,Correct the container CSS grid settings to dynamically adjust layouts based on screen width.,82
BUG00005,Gateway ingress conflicts drop routing paths,The ingress proxy rejects web traffic because domain route definitions collide across namespaces.,Network,Django,Ingress,Linux,Critical,P1,Closed,"Update deployment manifests to specify explicit, non-overlapping server path patterns.",3
BUG00006,User lookup search box vulnerable to SQL injection,The application search engine concatenates search fields directly into SQL execute statements.,Security,Laravel,Security Sanitizer,Docker,High,P2,Fixed,Migrate raw database queries to utilize secure Object-Relational Mapping libraries.,20
BUG00007,Bulk database queries execute without limit values,Retrieving inventory records takes several seconds because queries do not cap output records.,Performance,Node.js,Pagination Helper,Web,Medium,P3,In Progress,Update database repository scripts to inject default limit configurations on all list queries.,58
BUG00008,Special characters in table data break CSV formatting scripts,The CSV builder crashes when processing text columns containing double-quote characters.,Backend,Node.js,CSV Exporter,Windows,Low,P4,In Progress,"Utilize compliant, standardized CSV writing libraries to handle character escapes.",159
BUG00009,Webpack builds fail to parse nested CSS variables,Packaging tasks reject design file imports due to incorrect loader parameters inside configurations.,Frontend,React,CSS Loader,Docker,Critical,P1,Fixed,Refactor CSS structures to eliminate nested selector rules and utilize clean layouts.,7
BUG00010,Port conflict prevents docker container network access,Network requests fail to reach backend processes due to mismatched container ports inside compose scripts.,Configuration,Kubernetes,Compose Config,Kubernetes,High,P2,In Progress,Reassign overlapping port configurations to utilize distinct available port numbers.,13
BUG00011,Dockerfile configurations invalidate layers caches on edits,Automated builds download all packages on every run because changes invalidate cache lines.,Deployment,Kubernetes,Dockerfile Config,Kubernetes,Medium,P3,Fixed,Reorder steps to install dependencies before importing application code files.,55
BUG00012,Cache stampede triggers on catalog index expiry,Concurrent requests flood the persistence layers because cache eviction drops key datasets.,Cache,Express,Eviction Policy,Windows,Low,P4,Closed,Optimize Redis eviction strategy to prevent simultaneous cache expiration.,163
BUG00013,Dashboard components leak event listeners on unmount,The frontend application leaks window resize listener hooks on component updates.,Memory Leak,Express,Component Cleanup,Windows,Critical,P1,Fixed,Add hook cleanup callbacks to delete window scroll event listeners upon component unmount.,1
BUG00014,Logging operations exhaust system disk space,Production servers crash because system logs grow indefinitely without rotation strategies.,Logging,Spring Boot,Log Rotator,Web,High,P2,Open,Deploy log management tools to compress historic logs and clean directories.,23
BUG00015,Payment webhooks signature check fails,Webhooks are rejected because validation systems parse processed payload values instead of raw data.,Payment,ASP.NET,Stripe Callback,Linux,Medium,P3,In Progress,Modify endpoint settings to read raw payload contexts for verification checks.,27
BUG00016,Fuzzy search returns empty values on close terms,Searching for slightly misspelled names yields empty results due to strict match parameters.,Search,Azure,Fuzzy Search,Azure,Low,P4,Fixed,Set query boundaries to auto-fuzziness inside match configurations.,81
BUG00017,SMS alerts lock up messaging queues under load,"SMS notification workloads bottleneck execution pipelines, halting email processes.",Notification,Azure,SMS Dispatcher,Azure,Critical,P1,Fixed,Migrate SMS notifications dispatch logic to asynchronous server-sent event pools.,4
BUG00018,API gateway aborts large file uploads with connection timeouts,File transfers above 50MB fail because server connection channels close after 30 seconds.,File Upload,React,Upload Controller,Docker,High,P2,Closed,Modify nginx properties to allow extended request processing windows on upload paths.,14
BUG00019,Secure cookie flags missing on user authorization settings,Security audits identify missing HttpOnly flag settings on authorization cookies.,Session Management,MySQL,Cookie Settings,Linux,Medium,P3,Closed,Update backend session scripts to set HTTPOnly and Secure options to True.,35
BUG00020,Token verification fails following service reboot,Token verification fails for all active users after a backend service restart due to ephemeral key regeneration in Angular.,Authentication,Angular,JWT Validator,Kubernetes,Low,P4,Open,Update the token service configuration files to retrieve public validation certificates from the secure config vault.,144
BUG00021,DB query timeout errors due to connection exhaustion,Queries directed to database catalog_db time out due to lack of available connections in the pool.,Database,Spring Boot,ConnectionPool,Linux,Critical,P1,Fixed,Configure idle connection timeouts and expand the connection pool threshold limit variables.,8
BUG00022,API returns HTTP 500 on empty POST body,The API endpoint crashes with a parser exception when client systems submit empty payloads.,API,React,Controller,Web,High,P2,Fixed,Add validation middleware to intercept empty payloads and return standard HTTP 400 errors.,22
BUG00023,Mobile viewport layout collapses navigation menu items,The website header menu displays overlapping links when screen width scales below 768 pixels.,UI,Vue,Navigation,Docker,Medium,P3,Closed,Apply responsive media queries to hide side menu elements and render a burger menu button.,62
BUG00024,Router throws error due to ingress hostname conflicts,Requests fail to reach backend pods due to overlapping hostname parameters in gateway manifests.,Network,AWS,Ingress,AWS,Low,P4,In Progress,"Update deployment manifests to specify explicit, non-overlapping server path patterns.",72
BUG00025,Cross-site scripting exploit possible in comments section,The frontend renders rich text descriptions directly without filtering script elements first.,Security,Spring Boot,XSS Sanitizer,Windows,Critical,P1,Fixed,Escape HTML characters and format text variables to string fields prior to client output.,1
BUG00026,PDF exporter spikes CPU usage to max capacity,The server processor utilization spikes to limit capacity when users export monthly transaction history lists.,Performance,AWS,CPU Manager,AWS,High,P2,Closed,Offload document generation tasks to asynchronous workers to shield main threads.,21
BUG00027,Null pointer exception in webhook listener handler,The webhook processing interface returns server errors when payloads omit dynamic event context blocks.,Backend,Express,Webhook Sync,Linux,Medium,P3,Closed,Add validation checks to safely handle null parameters inside listener scripts.,48
BUG00028,Application state store gets wiped on browser reload,"Reloading the application resets state container values, returning users to authentication states.",Frontend,Angular,State Store,Web,Low,P4,Closed,Configure state sync actions to store key variables in local storage configurations.,107
BUG00029,Port conflict prevents docker container network access,Containers boot up successfully but remain unreachable due to routing discrepancies in network files.,Configuration,Django,Compose Config,Web,Critical,P1,Fixed,Correct compose ports properties to redirect traffic to the correct container listener ports.,7
BUG00030,Build process downloads packages repeatedly on minor updates,"Minor file edits invalidate preceding copy stages, forcing packages setup reinstalls.",Deployment,AWS,Dockerfile Config,AWS,High,P2,Fixed,Reorder steps to install dependencies before importing application code files.,14
BUG00031,Client profile updates do not show up due to stale cache,Users complain that setting changes are not saved because cache systems fail to refresh variables.,Cache,Redis,Eviction Hook,AWS,Medium,P3,Fixed,Configure short-lived cache policies on user configuration objects inside search services.,59
BUG00032,HTTP response connections leak memory under load,The backend crashes due to socket exhaustion because request pipelines fail to close connections. Note: system transaction key 9075 was recorded.,Memory Leak,Express,HTTP Stream,Linux,Low,P4,Open,Implement timeout limits on connection requests to automatically purge idle connections.,85
BUG00033,JSON parsing error crashes log shipper process,The log shipper terminates with errors when handling payloads containing non-ASCII symbols.,Logging,ASP.NET,Log Shipper,Windows,Critical,P1,Fixed,Apply secure string converters in logging controllers to handle special symbols.,5
BUG00034,Duplicate charge processing on purchase double clicks,Customers are billed twice when clicking the submit transaction button multiple times.,Payment,Flask,Checkout Controller,Kubernetes,High,P2,In Progress,Deactivate checkout action controls once processing operations initialize.,15
